example_id                                                          | status  | run_time        |
./spec/lib/railspress/configuration_spec.rb[1:5:5]                  | passed  | 0.00014 seconds |
./spec/lib/railspress/configuration_spec.rb[1:6:1]                  | passed  | 0.00016 seconds |
./spec/lib/railspress/entity_spec.rb[1:1:1]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[1:1:2]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[1:2:1]                         | passed  | 0.00037 seconds |
./spec/lib/railspress/entity_spec.rb[1:2:2]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[1:2:3]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[1:2:4]                         | passed  | 0.00013 seconds |
./spec/lib/railspress/entity_spec.rb[1:3:1]                         | passed  | 0.00018 seconds |
./spec/lib/railspress/entity_spec.rb[1:4:1]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[1:5:1]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[1:5:2]                         | passed  | 0.00064 seconds |
./spec/lib/railspress/entity_spec.rb[1:5:3]                         | passed  | 0.00015 seconds |
./spec/lib/railspress/entity_spec.rb[2:1:1]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[2:1:2]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[2:2:1]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[2:3:1]                         | passed  | 0.00016 seconds |
./spec/lib/railspress/entity_spec.rb[2:4:1]                         | passed  | 0.00015 seconds |
./spec/lib/railspress/entity_spec.rb[2:5:1]                         | passed  | 0.00015 seconds |
./spec/lib/railspress/entity_spec.rb[2:5:2]                         | passed  | 0.00017 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:1]                         | passed  | 0.00016 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:2]                         | passed  | 0.00019 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:3]                         | passed  | 0.00017 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:4]                         | passed  | 0.00049 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:5]                         | passed  | 0.00016 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:6]                         | passed  | 0.00035 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:7]                         | passed  | 0.00034 seconds |
./spec/lib/railspress/entity_spec.rb[3:1:8]                         | passed  | 0.00015 seconds |
./spec/lib/railspress/entity_spec.rb[3:2:1]                         | passed  | 0.00014 seconds |
./spec/lib/railspress/entity_spec.rb[3:2:2]                         | passed  | 0.00015 seconds |
./spec/lib/railspress/entity_spec.rb[3:3:1]                         | passed  | 0.00016 seconds |
./spec/lib/railspress/entity_spec.rb[3:3:2]                         | passed  | 0.00014 seconds |
./spec/models/concerns/railspress/has_focal_point_spec.rb[1:1:1]    | passed  | 0.00088 seconds |
